timestamp,prompt_id,model_config_id,model_name,dataset_name
2025-06-10T17:59:35.714020,35b6b7043b5970f5,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T17:59:37.875017,ee61c68c6a5e7d27,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:07.929520,52583515dbfe72eb,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:10.259017,1531c0830904b7c4,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:13.197971,a41e460ca48e64db,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:15.757518,36a1ea9ec6602da4,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:17.495472,dee667f52637cc65,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:19.006427,6d7f3b0c4dd09bc2,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:22.290400,e2178cc6226ebf5e,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:24.287207,0ceb4986f3736da3,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:26.065544,f9fe44c158abcfa1,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:29.971833,b1a6053d8a9be6be,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:31.781309,6968f47bbbb51690,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:33.410458,d335da536305884f,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:35.202270,66580f92e97db2e9,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:37.146974,2acea5204c43adb7,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:39.071971,c76da9de007f23a8,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:40.803309,e3f88b381e44d371,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:42.518292,16bde82d9c9c4676,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:44.720924,ff68c4c325a79142,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:01:47.134200,e015d95c7fc51b96,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:02:24.246982,52583515dbfe72eb,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:02:26.350461,1531c0830904b7c4,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:02:27.927397,a41e460ca48e64db,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
2025-06-10T18:02:29.636655,36a1ea9ec6602da4,gpt4.1_mini,openrouter/openai/gpt-3.5-turbo,speaker_independence_enhanced
